"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC101841462",26.4103701430876,-0.0651758428072343,0.193115934828315,-0.337495934062496,0.735743076692382,0.999563971498878
"Ramp2",40.8686338637075,-0.0871994851619905,0.258419416764389,-0.337433952346908,0.73578979362982,0.999563971498878
"Dcun1d4",155.426449631994,0.0388463858041024,0.115145097314237,0.337368995382309,0.735838754124281,0.999563971498878
"Ctif",143.960469703544,-0.0477252572048373,0.141472092869604,-0.337347502512925,0.735854954340304,0.999563971498878
"Dnajc13",42.2501770344553,0.06053331382059,0.179637742017924,0.336974363742281,0.736136225809215,0.999563971498878
"Mterf4",61.23718319733,-0.050341990990055,0.149413151608647,-0.33693145782718,0.736168570494284,0.999563971498878
"Pip4p2",79.1448788386799,-0.0588578402372372,0.174914520630272,-0.336494877756026,0.73649771357735,0.999563971498878
"Farp1",48.7972527725204,-0.0631489475255931,0.187721313144547,-0.336397324671216,0.73657126665915,0.999563971498878
"Egln2",320.380488120529,-0.0300725286240023,0.0894432816567008,-0.336218976618345,0.736705743776639,0.999563971498878
"Naglu",23.0031566755214,0.0743203825536461,0.221050398658017,0.336214650617418,0.736709005746667,0.999563971498878
"Dct",29.5187479064162,-0.115542791620239,0.34384458495069,-0.336032023411999,0.736846717966399,0.999563971498878
"Hint1",1620.84426663177,-0.0218982659511489,0.0652039347837043,-0.335842706790476,0.736989483341461,0.999563971498878
"Pdzd4",96.460751929216,0.0316719614119686,0.0943221656577718,0.335784925961981,0.73703305819461,0.999563971498878
"LOC110340622",20.5563412436375,-0.149371758290105,0.445056405780684,-0.335624330646559,0.737154174039034,0.999563971498878
"Arl6",24.633213875149,0.068345534858519,0.203670605984232,0.335568967000619,0.737195929041338,0.999563971498878
"Kank3",22.7870089992966,-0.0785407825330319,0.234089992982887,-0.335515335500794,0.737236378406879,0.999563971498878
"Rbck1",70.9315800577231,-0.040668423146867,0.121232800561497,-0.335457260399072,0.73728017999825,0.999563971498878
"Caap1",42.0450685176454,-0.0566515875858484,0.168958456463164,-0.335298917685127,0.737399610087706,0.999563971498878
